Insurance Company,Plan Name,Coverage Amount (₹),Network Hospitals,Maternity & Newborn Coverage,No Claim Bonus (NCB) (%),Room Rent Limit (₹),Daycare Procedures Covered,Critical Illness Cover,Waiting Period (Years),Co-payment (%),Family Floater,Top-up/Super Top-up Plans,Annual Premium (₹),Claim Settlement Ratio (%),Cashless Claim Process (Ease Rating),Pre Hospitalization (Days),Post Hospitalization (Days)
LMN Health,Wellness Shield,1500000,908,Yes (After 3 Years),20,5000,Yes,No,2,0,Yes,No,9755,93,5,60,70
RST Care,Secure Health,3000000,863,No,30,8000,No,No,1,20,No,No,20658,95,4,40,120
UVW Health,Health Guard,300000,138,Yes (After 3 Years),50,8000,No,No,3,0,No,Yes,21623,85,4,60,70
HIJ Assurance,Family Protect,4000000,378,Yes (After 2 Years),0,No Limit,No,No,5,20,No,Yes,9787,94,5,45,60
HIJ Assurance,Prime Coverage,4000000,378,No,30,No Limit,Yes,No,5,20,Yes,Yes,9755,95,4,20,45
XYZ Insurance,Wellness Shield,4000000,313,Yes (After 2 Years),20,8000,Yes,No,2,5,Yes,Yes,17780,86,5,20,45
PQR Insurance,Health Plan A,500000,280,Yes (After 2 Years),20,No Limit,Yes,Yes,1,0,No,No,17780,93,5,45,70
LMN Health,Secure Health,500000,790,Yes (After 4 Years),10,No Limit,No,Yes,1,0,Yes,No,23230,86,4,0,70
LMN Health,Prime Coverage,5000000,280,Yes (After 3 Years),20,8000,No,No,5,10,No,Yes,24500,86,4,30,45
KLM Insurance,Care Plus,3000000,465,No,50,8000,Yes,Yes,3,0,No,No,20658,85,4,40,0
XYZ Insurance,Complete Care,4000000,790,Yes (After 2 Years),50,5000,Yes,No,4,0,Yes,No,17780,96,5,45,90
LMN Health,Secure Health,5000000,408,No,50,15000,Yes,Yes,2,20,Yes,No,24500,85,4,40,45
KLM Insurance,Prime Coverage,500000,138,Yes (After 4 Years),30,No Limit,No,Yes,3,5,Yes,No,23230,94,4,30,70
XYZ Insurance,Secure Health,700000,790,Yes (After 4 Years),50,10000,Yes,No,1,20,No,No,9755,89,4,40,120
RST Care,Health Plus,1000000,313,Yes (After 4 Years),10,10000,No,Yes,1,20,Yes,Yes,23896,94,5,20,45
UVW Health,Care Plus,1500000,863,No,50,15000,No,Yes,4,20,No,Yes,14371,96,5,60,45
LMN Health,Health Plan A,4000000,408,Yes (After 4 Years),30,No Limit,No,Yes,5,5,Yes,Yes,21623,95,4,45,90
EFG Insurance,Secure Health,500000,908,Yes (After 4 Years),0,15000,Yes,Yes,2,10,Yes,Yes,21623,99,3,40,0
ABC Insurance,Complete Care,300000,280,No,50,5000,No,No,5,5,Yes,No,14371,85,3,20,70
PQR Insurance,Prime Coverage,1500000,138,Yes (After 4 Years),30,8000,No,No,1,0,Yes,Yes,24500,99,4,45,60
XYZ Insurance,Super Care,5000000,465,Yes (After 4 Years),30,No Limit,Yes,Yes,4,20,Yes,No,21623,96,4,0,90
XYZ Insurance,Prime Coverage,1000000,378,No,0,No Limit,No,No,2,0,Yes,Yes,23896,89,5,30,120
LMN Health,Secure Health,4000000,790,Yes (After 4 Years),50,5000,No,Yes,2,0,Yes,Yes,14371,85,3,45,60
HIJ Assurance,Family Protect,5000000,378,No,10,5000,Yes,No,3,10,No,Yes,9787,94,5,0,60
OPQ Assurance,Secure Health,700000,408,No,20,No Limit,Yes,No,5,20,No,No,24500,89,5,30,120
KLM Insurance,Super Care,2500000,378,Yes (After 2 Years),20,8000,Yes,Yes,4,10,Yes,No,14371,96,4,45,120
PQR Insurance,Care Plus,500000,908,No,30,5000,Yes,Yes,1,0,Yes,Yes,9787,85,4,20,0
LMN Health,Super Care,300000,138,No,0,5000,Yes,Yes,3,10,Yes,No,19615,96,4,45,90
XYZ Insurance,Health Plan A,300000,790,Yes (After 2 Years),0,8000,No,Yes,2,10,Yes,Yes,23230,86,5,30,120
OPQ Assurance,Wellness Shield,500000,378,Yes (After 4 Years),0,15000,Yes,Yes,4,5,Yes,Yes,21623,86,4,30,70
EFG Insurance,Secure Health,500000,378,Yes (After 3 Years),20,10000,No,Yes,1,0,Yes,Yes,9755,86,4,0,45
KLM Insurance,Health Guard,2500000,790,Yes (After 2 Years),0,5000,Yes,Yes,1,20,No,Yes,19615,85,4,60,60
HIJ Assurance,Health Plus,5000000,408,Yes (After 3 Years),50,No Limit,No,No,5,5,No,Yes,23896,85,5,45,70
KLM Insurance,Complete Care,5000000,790,No,30,15000,Yes,No,5,5,Yes,No,19615,94,4,0,70
PQR Insurance,Family Protect,3000000,863,No,0,No Limit,No,No,2,10,Yes,Yes,14371,89,5,60,70
RST Care,Family Protect,700000,280,No,20,10000,Yes,No,1,10,Yes,Yes,23896,93,5,30,70
EFG Insurance,Care Plus,300000,150,Yes (After 2 Years),30,5000,Yes,Yes,3,10,No,Yes,19615,89,3,30,60
KLM Insurance,Family Protect,1000000,313,No,50,No Limit,No,Yes,2,10,Yes,No,23230,96,5,45,45
RST Care,Prime Coverage,500000,313,No,20,15000,Yes,No,2,20,Yes,Yes,20658,85,5,45,0
PQR Insurance,Health Plan A,700000,313,Yes (After 3 Years),10,10000,Yes,No,3,20,No,Yes,14371,89,5,20,120
PQR Insurance,Health Plus,1500000,408,Yes (After 3 Years),30,8000,No,No,5,20,No,Yes,23896,93,4,0,45
LMN Health,Care Plus,1000000,790,Yes (After 4 Years),0,5000,Yes,Yes,3,20,Yes,No,9755,96,4,45,120
UVW Health,Secure Health,700000,313,Yes (After 4 Years),30,No Limit,No,No,5,0,Yes,Yes,23230,94,5,60,0
KLM Insurance,Wellness Shield,5000000,313,Yes (After 4 Years),0,15000,No,Yes,4,20,Yes,No,21623,85,4,45,90
OPQ Assurance,Health Plan A,700000,863,No,0,10000,Yes,Yes,1,20,No,Yes,17780,96,3,30,0
OPQ Assurance,Complete Care,700000,150,Yes (After 3 Years),30,5000,No,Yes,3,20,No,Yes,23896,95,5,45,70
LMN Health,Complete Care,1000000,465,No,50,No Limit,No,Yes,3,5,No,No,14371,99,3,60,60
RST Care,Prime Coverage,5000000,150,No,30,10000,Yes,Yes,3,0,Yes,Yes,17780,94,5,45,0
EFG Insurance,Complete Care,300000,313,Yes (After 4 Years),50,5000,No,No,2,10,No,No,23230,86,4,45,90
RST Care,Health Plus,1500000,138,Yes (After 2 Years),30,No Limit,Yes,No,2,0,No,No,21623,96,3,30,45
ABC Insurance,Health Plan A,500000,790,Yes (After 3 Years),20,5000,No,Yes,5,10,No,No,17780,94,4,60,0
